,Location,Velocity,Time
1784,70.0,8.0,4.0
1785,70.0,8.0,6.0
1786,70.0,8.0,8.0
1787,70.0,8.0,10.0
1788,70.0,8.0,12.0
1789,70.0,8.0,14.0
1790,70.0,8.0,16.0
1791,70.0,8.0,18.0
1792,70.0,8.0,20.0
1793,70.0,9.0,0.0
1794,70.0,9.0,2.0
1795,70.0,9.0,4.0
1796,70.0,9.0,6.0
1797,70.0,9.0,8.0
1798,70.0,9.0,10.0
1799,70.0,9.0,12.0
1800,70.0,9.0,14.0
1801,70.0,9.0,16.0
1802,70.0,9.0,18.0
1803,70.0,9.0,20.0
1804,70.0,10.0,0.0
1805,70.0,10.0,2.0
1806,70.0,10.0,4.0
1807,70.0,10.0,6.0
1808,70.0,10.0,8.0
1809,70.0,10.0,10.0
1810,70.0,10.0,12.0
1811,70.0,10.0,14.0
1812,70.0,10.0,16.0
1813,70.0,10.0,18.0
1814,70.0,10.0,20.0
1815,75.0,0.0,0.0
1816,75.0,0.0,2.0
1817,75.0,0.0,4.0
1818,75.0,0.0,6.0
1819,75.0,0.0,8.0
1820,75.0,0.0,10.0
1821,75.0,0.0,12.0
1822,75.0,0.0,14.0
1823,75.0,0.0,16.0
1824,75.0,0.0,18.0
1825,75.0,0.0,20.0
1826,75.0,1.0,0.0
1827,75.0,1.0,2.0
1828,75.0,1.0,4.0
1829,75.0,1.0,6.0
1830,75.0,1.0,8.0
1831,75.0,1.0,10.0
1832,75.0,1.0,12.0
1833,75.0,1.0,14.0
1834,75.0,1.0,16.0
1835,75.0,1.0,18.0
1836,75.0,1.0,20.0
1837,75.0,2.0,0.0
1838,75.0,2.0,2.0
1839,75.0,2.0,4.0
1840,75.0,2.0,6.0
1841,75.0,2.0,8.0
1842,75.0,2.0,10.0
1843,75.0,2.0,12.0
1844,75.0,2.0,14.0
1845,75.0,2.0,16.0
1846,75.0,2.0,18.0
1847,75.0,2.0,20.0
1848,75.0,3.0,0.0
1849,75.0,3.0,2.0
1850,75.0,3.0,4.0
1851,75.0,3.0,6.0
1852,75.0,3.0,8.0
1853,75.0,3.0,10.0
1854,75.0,3.0,12.0
1855,75.0,3.0,14.0
1856,75.0,3.0,16.0
1857,75.0,3.0,18.0
1858,75.0,3.0,20.0
1859,75.0,4.0,0.0
1860,75.0,4.0,2.0
1861,75.0,4.0,4.0
1862,75.0,4.0,6.0
1863,75.0,4.0,8.0
1864,75.0,4.0,10.0
1865,75.0,4.0,12.0
